rec_id,signal,N. of measurements,eta,direct_method,p,maxiter_stage,MSE,SNR [dB]
a_223,29,60,16,True,0.4,10,2.5565816772108185e-27,246.4290575059832
a_224,29,60,16,True,0.5,10,8.586357945463717e-26,231.16756433388025
a_225,29,60,16,True,0.6,10,3.0131756687877697e-24,215.71540970771207
a_226,29,60,16,True,0.7,10,1.3151440030248691e-22,199.3159211369792
a_227,29,60,16,True,0.8,10,5.346468157920661e-20,173.22498437901413
a_228,29,60,16,True,0.9,10,1.3178068265516954e-13,109.30713483451818
a_229,29,60,16,True,1,10,5.3147854785326686e-05,23.26444113203722
a_230,3,60,16,True,0.1,10,1.2560699783639004e-27,251.04206138010684
a_231,3,60,16,True,0.2,10,5.2953088233885926e-30,274.7932868025024
a_232,3,60,16,True,0.3,10,6.48033484765417e-29,263.916225265339
a_233,3,60,16,True,0.4,10,1.9841256944497157e-27,249.05650792302578
a_234,3,60,16,True,0.5,10,6.463270204840782e-26,233.9276766105732
a_235,3,60,16,True,0.6,10,2.2029932422932395e-24,218.60206808615334
a_236,3,60,16,True,0.7,10,9.229081145478615e-23,202.38061509072864
a_237,3,60,16,True,0.8,10,3.6275366082559844e-20,176.43608169368864
a_238,3,60,16,True,0.9,10,1.1619658461830365e-16,141.38026595803257
a_239,3,60,16,True,1,10,3.647409045123448e-05,26.32953309012384
a_240,30,60,16,True,0.1,10,8.300012478331596e-29,269.4798817266069
a_241,30,60,16,True,0.2,10,5.248985039577419e-29,271.46991582997254
a_242,30,60,16,True,0.3,10,3.8141301835412206e-28,262.85671405698093
a_243,30,60,16,True,0.4,10,1.0027078419413828e-26,248.65892506491156
a_244,30,60,16,True,0.5,10,2.5671251855979974e-25,234.57619870446734
a_245,30,60,16,True,0.6,10,7.042903827447782e-24,220.19315159925083
a_246,30,60,16,True,0.7,10,2.4963975113983553e-22,204.69753176997986
a_247,30,60,16,True,0.8,10,7.207342046569823e-20,180.09291784764645
a_248,30,60,16,True,0.9,10,1.9568535189058825e-17,155.7550860260418
a_249,30,60,16,True,1,10,3.7065743361402345e-09,72.98128741078104
